Liquid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O CO2 
124 3100.00 1056.10 64.749217 51.8367 0.878571 19.6384 1.25453 0 5.1439 0.247107 1.96942 0 0 5.48663 3.19713 7.25877 0 3.08884 0
125 3100.00 1055.10 64.605287 51.8538 0.87437 19.6619 1.25303 0 5.13509 0.247658 1.9504 0 0 5.44953 3.20353 7.27495 0 3.09572 0
126 3100.00 1054.10 64.462679 51.871 0.87011 19.6852 1.25152 0 5.12622 0.248206 1.93158 0 0 5.41262 3.2099 7.29104 0 3.10257 0
127 3100.00 1053.10 64.321383 51.8883 0.865793 19.7083 1.25001 0 5.11731 0.248751 1.91295 0 0 5.37589 3.21623 7.30706 0 3.10939 0
128 3100.00 1052.10 64.181388 51.9057 0.861418 19.7312 1.2485 0 5.10835 0.249293 1.89452 0 0 5.33936 3.22253 7.32299 0 3.11617 0
129 3100.00 1051.10 64.042685 51.9232 0.856986 19.7538 1.24698 0 5.09934 0.249833 1.87628 0 0 5.30301 3.2288 7.33886 0 3.12292 0
130 3100.00 1050.10 63.905263 51.9407 0.852497 19.7762 1.24546 0 5.09028 0.250371 1.85825 0 0 5.26686 3.23503 7.35464 0 3.12963 0
131 3100.00 1049.10 63.769113 51.9584 0.847951 19.7985 1.24394 0 5.08118 0.250905 1.8404 0 0 5.23089 3.24122 7.37034 0 3.13631 0
132 3100.00 1048.10 63.634225 51.9761 0.84335 19.8205 1.24242 0 5.07204 0.251437 1.82275 0 0 5.19512 3.24738 7.38596 0 3.14296 0
133 3100.00 1047.10 63.500591 51.9939 0.838694 19.8423 1.24089 0 5.06285 0.251966 1.8053 0 0 5.15954 3.2535 7.40151 0 3.14958 0
134 3100.00 1046.10 63.368200 52.0118 0.833983 19.8639 1.23936 0 5.05363 0.252493 1.78803 0 0 5.12415 3.25959 7.41697 0 3.15616 0
135 3100.00 1045.10 63.237045 52.0297 0.829219 19.8852 1.23782 0 5.04436 0.253016 1.77096 0 0 5.08895 3.26564 7.43235 0 3.1627 0
136 3100.00 1044.10 63.107117 52.0478 0.824401 19.9064 1.23629 0 5.03506 0.253537 1.75407 0 0 5.05395 3.27166 7.44765 0 3.16921 0
137 3100.00 1043.10 62.978406 52.0658 0.81953 19.9274 1.23475 0 5.02573 0.254055 1.73737 0 0 5.01915 3.27764 7.46288 0 3.17569 0
138 3100.00 1042.10 62.850906 52.084 0.814608 19.9481 1.23322 0 5.01635 0.254571 1.72087 0 0 4.98454 3.28359 7.47801 0 3.18213 0
139 3100.00 1041.10 62.724606 52.1022 0.809636 19.9687 1.23168 0 5.00695 0.255083 1.70454 0 0 4.95012 3.2895 7.49307 0 3.18854 0
140 3100.00 1040.10 62.599499 52.1205 0.804613 19.989 1.23014 0 4.99751 0.255593 1.68841 0 0 4.9159 3.29537 7.50805 0 3.19491 0
141 3100.00 1039.10 62.475578 52.1388 0.799542 20.0092 1.2286 0 4.98805 0.2561 1.67245 0 0 4.88188 3.30121 7.52294 0 3.20125 0
142 3100.00 1038.10 62.352833 52.1572 0.794422 20.0291 1.22706 0 4.97855 0.256604 1.65669 0 0 4.84806 3.30701 7.53775 0 3.20755 0
143 3100.00 1037.10 62.231258 52.1756 0.789257 20.0488 1.22552 0 4.96903 0.257106 1.6411 0 0 4.81444 3.31277 7.55247 0 3.21382 0
144 3100.00 1036.10 62.110844 52.1941 0.784046 20.0684 1.22398 0 4.95949 0.257604 1.62569 0 0 4.78102 3.3185 7.56712 0 3.22005 0
145 3100.00 1035.10 61.991583 52.2127 0.778791 20.0877 1.22244 0 4.94992 0.2581 1.61047 0 0 4.7478 3.32419 7.58167 0 3.22624 0
146 3100.00 1034.10 61.873467 52.2313 0.773494 20.1068 1.22091 0 4.94032 0.258592 1.59542 0 0 4.71478 3.32985 7.59615 0 3.2324 0
147 3100.00 1033.10 61.756489 52.2499 0.768156 20.1258 1.21937 0 4.93071 0.259082 1.58055 0 0 4.68196 3.33547 7.61054 0 3.23853 0
148 3100.00 1032.10 61.640641 52.2685 0.762779 20.1445 1.21784 0 4.92108 0.259569 1.56585 0 0 4.64935 3.34105 7.62484 0 3.24461 0
149 3100.00 1031.10 61.525914 52.2872 0.757364 20.1631 1.2163 0 4.91143 0.260053 1.55133 0 0 4.61693 3.34659 7.63906 0 3.25066 0
150 3100.00 1030.10 61.412301 52.3059 0.751914 20.1814 1.21478 0 4.90176 0.260534 1.53698 0 0 4.58473 3.3521 7.65319 0 3.25668 0
151 3100.00 1029.10 61.299793 52.3247 0.74643 20.1996 1.21325 0 4.89207 0.261012 1.5228 0 0 4.55272 3.35757 7.66724 0 3.26265 0
152 3100.00 1028.10 61.188381 52.3434 0.740914 20.2176 1.21172 0 4.88238 0.261488 1.50879 0 0 4.52092 3.36301 7.6812 0 3.26859 0
153 3100.00 1027.10 61.078058 52.3622 0.73537 20.2354 1.2102 0 4.87267 0.26196 1.49494 0 0 4.48933 3.36841 7.69507 0 3.2745 0
154 3100.00 1026.10 60.968814 52.381 0.729798 20.253 1.20868 0 4.86295 0.262429 1.48126 0 0 4.45794 3.37377 7.70886 0 3.28037 0
155 3100.00 1025.10 60.860639 52.3997 0.724201 20.2704 1.20717 0 4.85321 0.262896 1.46775 0 0 4.42676 3.37909 7.72256 0 3.2862 0
156 3100.00 1024.10 60.753526 52.4185 0.718583 20.2877 1.20566 0 4.84347 0.263359 1.45439 0 0 4.39579 3.38438 7.73618 0 3.29199 0
157 3100.00 1023.10 60.647463 52.4373 0.712946 20.3047 1.20415 0 4.83372 0.26382 1.4412 0 0 4.36502 3.38963 7.74971 0 3.29775 0
158 3100.00 1022.10 60.542441 52.4561 0.707292 20.3216 1.20265 0 4.82397 0.264277 1.42816 0 0 4.33445 3.39484 7.76315 0 3.30347 0
159 3100.00 1021.10 60.438450 52.4749 0.701625 20.3384 1.20115 0 4.81421 0.264732 1.41527 0 0 4.30409 3.40002 7.77651 0 3.30915 0
160 3100.00 1020.10 60.335477 52.4936 0.695947 20.3549 1.19965 0 4.80444 0.265184 1.40253 0 0 4.27394 3.40516 7.78978 0 3.3148 0
161 3100.00 1019.10 60.233513 52.5124 0.690262 20.3713 1.19816 0 4.79467 0.265633 1.38995 0 0 4.24399 3.41026 7.80296 0 3.32041 0
162 3100.00 1018.10 60.132545 52.5311 0.684573 20.3876 1.19668 0 4.78489 0.266079 1.37751 0 0 4.21424 3.41533 7.81607 0 3.32599 0
163 3100.00 1017.10 60.032562 52.5498 0.678883 20.4036 1.1952 0 4.77511 0.266522 1.36521 0 0 4.1847 3.42036 7.82908 0 3.33153 0
164 3100.00 1016.10 59.933550 52.5684 0.673196 20.4196 1.19372 0 4.76533 0.266962 1.35306 0 0 4.15536 3.42536 7.84202 0 3.33703 0
165 3100.00 1015.10 59.835498 52.587 0.667515 20.4354 1.19225 0 4.75554 0.2674 1.34104 0 0 4.12622 3.43032 7.85487 0 3.3425 0
166 3100.00 1014.10 59.738391 52.6055 0.661842 20.451 1.19078 0 4.74576 0.267834 1.32916 0 0 4.09728 3.43525 7.86764 0 3.34793 0
